0,1. applicable law
0,"this site is created and controlled by m/s yagna innovation, bangalore, india; as such the laws of india shall apply.courts in bangalore shall have jurisdiction in respect of all the terms, conditions and disclaimers.yagna innovation rreserves the right to make changes to the site and the terms, conditions and disclaimers."
0,"agreement means the terms and conditions as detailed herein including all schedules, appendices, annexure, privacy policy and will include the references to this agreement as amended, replaced, supplemented or varied from time to time."
0,"yagnainnvation/ site means the online shopping platform owned and operated by m/s yagna innovation.(yagnainnovation.com), which provides a venue to the users of yagnainnovation.com to buy the products listed on the site."
0,"vendor/seller shall mean the person or any legal entity who offers for sale, sells the products on yagnainnovation.com."
0,customer / buyer shall mean the person or any legal entity who accepts the offer for sale on yagnainnovation.com by placing an order for and or purchases any products offered for sale on yagnainnovation.com.
0,"you represent and warrant that you are competent and eligible to enter into legally binding agreement and have the requisite authority to bind the other party to this agreement.you shall not use this site if you are not competent to contract under the applicable laws, rules and regulations."
0,"this agreement shall continue to be in full force and effect for so long as you are using the yagnainnovation.com services.yagnainnovation.com provides the online shopping platform wherein the users can purchase/buy the products listed on yagnainnovation.com (the services) pursuant to the terms and conditions set forth below.by clicking on the [agree and continue] button, you are agreeing to use the services in a manner consistent with and abide by the terms and conditions of this agreement, our privacy policy and with all applicable laws and regulations.either you or yagnainnovation.com may terminate the service at any time, with or without cause.however yagnainnovation.com reserves the right, in its sole discretion, to terminate your access to the yagnainnovation.com and subscription services and the related services or any portion thereof at any time, without notice.the provisions of sections 13,14,15,16 and 18 shall survive any such termination."
0,5. modification of terms and conditions of service:
0,"yagnainnovation.com may at any time modify the terms and conditions (terms) of the service without any prior notification to you.you can access the latest version of the terms at any given time.you should regularly review the terms.in the event the modified terms are not acceptable to you, you should discontinue using the service.however, if you continue to use the service you agree to accept and abide by the modified terms."
0,"if you provide any information that is untrue, inaccurate not current or incomplete or yagnainnovation.com has reasonable grounds to suspect that such information is untrue, inaccurate, not current or incomplete, yagnainnovation.com has the right to indefinitely suspend or terminate your membership and refuse to provide you with access to yagnainnovation.com."
